publisher,description,title,date_published,image_url,id
,"An amazing & heart warming welcome offered to guests arriving at the Umaid Bhawan Palace, Jodhpur (Rajasthan-India) with sounds of Bugle Call & Drum.","Umaid Bhawan Palace, Jodhpur - Welcoming of Guests in Royal Style",2015-11-28T17:50:43.000Z,https://i.ytimg.com/vi/2-4YU8q4Ri0/hqdefault.jpg,2-4YU8q4Ri0
EnchantingVideos,"The Taj Umaid Bhawan Palace is the last of the great palaces of India. With 347 rooms, it is one of the largest residences in the world. This magnificent retreat of ...","TAJ UMAID BHAWAN, JODHPUR",2012-08-31T08:58:03.000Z,https://i.ytimg.com/vi/jLT53kjpVew/hqdefault.jpg,jLT53kjpVew
,"The Palace was built, between 1928 and 1943, for H.H. Maharaja Umaid Singh ji, Grand Father of our present Maharaja, who had benevolently commissioned a ...",Umaid Bhawan Palace,2015-08-21T00:10:20.000Z,https://i.ytimg.com/vi/3mrRgg8647M/hqdefault.jpg,3mrRgg8647M
WildFilmsIndia,"Umaid Bhawan Palace, located at Jodhpur in Rajasthan, India, is one of the world's largest private residences. A part of the palace is managed by Taj Hotels.",Umaid Bhawan Palace - Rajasthan,2014-07-10T18:47:19.000Z,https://i.ytimg.com/vi/NZG02SyiJ54/hqdefault.jpg,NZG02SyiJ54
behomeny,"Live music on the garden pavilion at the Umaid Bhawan Palace, Jodhpur, India.",Nighttime serenade at the Umaid Bhawan Palace,2012-10-15T10:51:39.000Z,https://i.ytimg.com/vi/gDGwTTRyfWQ/hqdefault.jpg,gDGwTTRyfWQ
bnavita1,"Umaid Bhawan Hotel is an 85 year old haveli, was converted into a hotel in 1993 in Bani Park in Jaipur, Rajasthan.","Hotel Umaid Bhawan - Jaipur, Rajasthan - MakeMyTrip",2008-02-21T10:16:18.000Z,https://i.ytimg.com/vi/N1hFzLt0ZKA/hqdefault.jpg,N1hFzLt0ZKA
,"Neha Harsha at umeed bhawan palace jodhpur ali akbar khan hall on the occesion of sel. od Maharaja shree Gaj singh ji""Birth day.",neha at umeed bhawan palace,2015-03-20T14:37:34.000Z,https://i.ytimg.com/vi/_3Scb_PeQFU/hqdefault.jpg,_3Scb_PeQFU
LuxuriousHotels,"Luxurious Hotels Jodhpur:- Taj Umaid Bhawan Palace, Jodhpur - 342006, Rajasthan, India Telephone: +91 291 2510101 Facsimile: +91 291 2510100.","Taj Umaid Bhawan Palace - Jodhpur, India",2014-10-09T12:22:36.000Z,https://i.ytimg.com/vi/_ozTg9U2IUg/hqdefault.jpg,_ozTg9U2IUg
surendrajakhar,"Jodhpur Former Maharaja Gaj singh 67 th birthday was celebrated on Tuesday at the Royal Palace, Umaid Bhawan. At Home in the city of grand dignitaries ...","Jodhpur Maharaja birthday celebration at the Royal Palace, Umaid Bhawan",2015-01-14T02:53:12.000Z,https://i.ytimg.com/vi/pgMSS62PbwE/hqdefault.jpg,pgMSS62PbwE
TripAdvisorTRIPWOWh,http://tripwow.tripadvisor.com/tripwow/ta-009f-685e-ad04?ytv1=1 - Created at TripWow by TravelPod Hotels (a TripAdvisor™ company) Traveler Photos Of ...,Umaid Bhawan Palace Jodhpur Traveler Photos - TripAdvisor TripWow,2010-10-26T07:21:15.000Z,https://i.ytimg.com/vi/TAly3LxoiTc/hqdefault.jpg,TAly3LxoiTc
,"Umaid Bhawan Palace, located at Jodhpur in Rajasthan, India, is one of the world's largest private residences. A part of the palace is managed by Taj Hotels.",Umaid Bhawan Palace : Best Hotel of the World in India,2016-02-07T14:26:24.000Z,https://i.ytimg.com/vi/X9vmOwOxJiM/hqdefault.jpg,X9vmOwOxJiM
WildFilmsIndia,"Umaid Bhawan Palace, located at Jodhpur in Rajasthan, India, is one of the world's largest private residences. A part of the palace is managed by Taj Hotels.","Umaid Bhawan palace, Jodhpur",2014-07-04T22:16:22.000Z,https://i.ytimg.com/vi/-1jrEPbAXs4/hqdefault.jpg,-1jrEPbAXs4
msethna88,A Festive Welcome At The Umaid Bhawan Palace With Song & Dance.,A Warm Welcome At Umaid Bhawan Palace,2013-09-06T10:28:33.000Z,https://i.ytimg.com/vi/WEtw0UJAdVY/hqdefault.jpg,WEtw0UJAdVY
WildFilmsIndia,"Umaid Bhawan Palace, located at Jodhpur in Rajasthan, India, is one of the world's largest private residences. A part of the palace is managed by Taj Hotels.",Royal interior of Umaid Bhawan Palace: Jodhpur,2014-07-12T18:41:16.000Z,https://i.ytimg.com/vi/RX91k832CdM/hqdefault.jpg,RX91k832CdM
GreatIndiaTV,"One World Retreat by the Indian Head Injuries Foundation, Umaid Bhawan, Jodhpur, Rajasthan, India.","One World Retreat Dinner Dance At Umaid Bhawan Palace, Jodhpur - March 2013",2013-05-07T12:12:47.000Z,https://i.ytimg.com/vi/Vcag1BLVzr4/hqdefault.jpg,Vcag1BLVzr4
WildFilmsIndia,Rajasthani man wearing a turban plays the double flute. His notes reverberate around the palace as a wedding takes place in this royal atmosphere. Umaid ...,"Rajasthani man playing a double flute inside Umaid Bhawan Palace, Jodhpur",2013-05-04T16:30:17.000Z,https://i.ytimg.com/vi/d6TxDI_AGW8/hqdefault.jpg,d6TxDI_AGW8
oneindianews,"Umaid Bhawan Palace in Jodhpur, Rajasthan, is the world's best hotel, according to a travel site. 64 rooms and suites out of Umaid Bhawan Palace's 347 rooms, ...",Umaid Bhawan Palace is the 'Best Hotel in the World' says travel website,2016-01-21T13:02:25.000Z,https://i.ytimg.com/vi/fRK8mQLu1Os/hqdefault.jpg,fRK8mQLu1Os
TheLexFilm,"Video clip presets Umaid Bhawan Hotel in Jaipur, and surrounding countryside.",Umaid Bhawan Hotel - Jaipur India,2014-06-29T11:40:44.000Z,https://i.ytimg.com/vi/xX8TsMlxdck/hqdefault.jpg,xX8TsMlxdck
,"1. Umaid Bhawan Palace Jodhpur – Jodhpur, India 2. Shinta Mani Resort – Siem Reap, Cambodia 3. Bellevue Syrene – Sorrento, Italy 4. Hanoi La Siesta Hotel ...",Jodhpur's Umaid Bhawan Palace named the world's best hotel of 2016,2016-01-23T17:54:12.000Z,https://i.ytimg.com/vi/aK-6B6JHZvI/hqdefault.jpg,aK-6B6JHZvI
,A royal wedding at Umaid Bhawan palace - Jodhpur ...3D Video Projection mapping and Custom content....Chris Rose.,Umaid Bhawan Palace Jodhpur wedding - Nov 2013,2014-02-20T03:43:59.000Z,https://i.ytimg.com/vi/zsSibaJtd3s/hqdefault.jpg,zsSibaJtd3s
,"Umaid Bhawan Palace, is one of the world's largest private residences, managed by Taj Hotels. Named after Maharaja Umaid Singh, grandfather of the present ...",Umaid Bhawan Palace Jodhpur,2014-05-04T04:48:15.000Z,https://i.ytimg.com/vi/QxpZHv7l00Q/hqdefault.jpg,QxpZHv7l00Q
GreatIndiaTV,"This is the high-profile fund-raiser hosted by the present Maharaja of Jodhpur in March 2013 where dignitaries like the Duke of York (UK), eminent doctors ...","One World Retreat Dinner at Umaid Bhawan Palace, Jodhpur, Rajasthan, India - March 2013",2013-04-20T03:40:07.000Z,https://i.ytimg.com/vi/yjIueDK9rAo/hqdefault.jpg,yjIueDK9rAo
,fireworks on the eve of birthday party of naomi campbell boyfriend at umaid bhawan palace jodhpur.,umaid bhawan palace jodhpur,2012-11-08T06:12:22.000Z,https://i.ytimg.com/vi/OVX0yKQG2Qc/hqdefault.jpg,OVX0yKQG2Qc
GottaDoIndia,The Umaid Bhawan Palace in Jodhpur is definitely one of the grandest palaces in India and if your in Jodhpur you cannot miss this!!! NEW UPLOAD EVERY ...,Umaid Bhawan Palace || Jodhpur|| India,2014-04-18T06:18:50.000Z,https://i.ytimg.com/vi/5iCgoDhPgqM/hqdefault.jpg,5iCgoDhPgqM
suryaparatap,"Umaid Bhawan Palace, located at Jodhpur in Rajasthan, India, is one of the world's largest private residences. A part of the palace is managed by Taj Hotels.",Umaid Bhawan Palace Jodhpur,2013-09-04T06:37:33.000Z,https://i.ytimg.com/vi/GfobUr4Pozs/hqdefault.jpg,GfobUr4Pozs
TravelWizardVideos,Enjoy travel videos from around the world.,"Taj Umaid Bhawan Palace Hotel India,Travel Videos",2015-01-08T21:19:07.000Z,https://i.ytimg.com/vi/JWv8XnIsJIc/hqdefault.jpg,JWv8XnIsJIc
himanshu723,Join our Production House on Facebook @ - https://www.facebook.com/25thDayProductions?fref=ts Contact me on Facebook- ...,Umaid Bhawan Palace & Royal Family Of Jodhpur (By Himanshu Singh Gurjar) INDIAN Documentary,2009-11-09T15:06:42.000Z,https://i.ytimg.com/vi/2VPl0Yi4yNU/hqdefault.jpg,2VPl0Yi4yNU
worldswonders,"Umaid Bhawan Palace, located at Jodhpur in Rajasthan, India, is one of the world's largest private residences. A part of the palace is managed by Taj Hotels.",Umaid Bhavan Palace (India),2010-04-02T08:43:30.000Z,https://i.ytimg.com/vi/k7F1YkX34iw/hqdefault.jpg,k7F1YkX34iw
fernando83250,"C'est l'immense palais du Maharajah de Jodhpur,qui fût construit dans les années 1930.Il y emploie encore aujourd'hui 300 personnes en permanence.",JODHPUR - RAJASTHAN . UMAID BHAWAN PALACE Février 2014,2014-08-14T21:34:43.000Z,https://i.ytimg.com/vi/dNuAR0H1aw8/hqdefault.jpg,dNuAR0H1aw8
KairaliOnline,"In this edition of Flavours of India, host Dr Lekshmi Nair takes viewers to a Umaid Bhawan palace in Jodhpur. She travels inside through this palace giving brief ...",Flavours of India: Umaid Bhawan Palace | 2nd January 2015 | Full Episode,2015-01-02T18:04:54.000Z,https://i.ytimg.com/vi/Ix6TYI7dX1E/hqdefault.jpg,Ix6TYI7dX1E
AsianArtMuseum,"Learn more about Umaid Bhawan Palace at the Asian Art Museum in the exhibition, Maharaja: The Splendor of India's Royal Courts (from October 21, 2011 ...",Maharaja of Jodhpur talks about living in Umaid Bhawan Palace,2011-08-15T17:21:43.000Z,https://i.ytimg.com/vi/v2TWoSOI8Mo/hqdefault.jpg,v2TWoSOI8Mo
WildFilmsIndia,"Inside view of well furnished bedroom at Umaid Bhawan Palace, Rajasthan. Umaid Bhawan Palace, located at Jodhpur in Rajasthan, India, is one of the world's ...",Well furnished bedroom at Umaid Bhawan Palace - Rajasthan,2014-07-10T20:59:27.000Z,https://i.ytimg.com/vi/gBj1_AWor-g/hqdefault.jpg,gBj1_AWor-g
